Sentiment	Text
Positive	Dustin Johnson has a lead in a major on Thursday, because of course he does: http://t.co/ZkrnHVKwoh http://t.co/AaqEi1H4vL
Positive	July 23rd is National Hot Dog day - a day to celebrate one of America's favorite foods, so fire up the grill and... http://t.co/EOJLctUYpV
Positive	"I want them to amp all the way up to an 11th Sharknado, then do 12th where two guys in shark costumes just reenact ""My Dinner With Andre."""
Positive	Come celebrate National Hot Dog Day tomorrow with us at #spsmarket and get a $1.00 off any of our hot dogs all... http://t.co/gCKysLp6gR
Positive	Gr8 meeting Rohan &amp; Milan 2day with Cst Crowe &amp; MacArthur #K9Charger &amp; #K9General!!! Good Luck Wed Rohan @sickkids!! https://t.co/C9VN39iUeC
Positive	Is it me or Celine Dion and Caitlyn Jenner look alike?   Yep! This is my kind of Sunday's question. Ok! I'm gone!
Positive	Pieces from the 1st Traci Lynn Fashion Jewelry  Show I went with Kalynn M. Kendrick , yes Ladies the Jewelry is definitely On Fleek!
Positive	Paul McCartney did not disappoint the 4th time.  #Legendofmusic https://t.co/r0jq7u8yIL
Positive	Dengeki Bunko Fight Climax Ignition coming to PS4, PS3, and Vita December 17th. Hope that means a localization soon after the first is here.
Positive	sam smith on 2nd ave! waaaaa how can you sing like its just bahay kubo megesh
Positive	Floyd Mayweather is the best welterweight in the world &amp; he's fighting a man who is the 2nd best welterweight in his gym #MayweatherBerto
Positive	Sunday Oliseh to pick five local stars for Tanzania game: Super Eagles coach, Sunday Oliseh, has revealed he w...  http://t.co/Wj8Czb215q
Positive	Rolling Stone and The Zone are the best songs on Thursday
Positive	Fresh off the fight of the decade, this Saturday Floyd Mayweather is back to defend his Welterweight World Title... http://t.co/eRWKIqUtPf
Positive	"I'll use a more recent example. When was the last time you got excited about a ""new Ice Cube record?"" By most standards he may be top 25 OAT"
Positive	Pretty sure I'm going to be the only person at this Jason Aldean concert tomorrow who's not wearing boots or a flannel. &amp; I'm okay with that
Positive	HISTORY - Cristiano Ronaldo is the 1st player in Real Madrid's history to score 14+ braces in a European competition.
